block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
30,3,4.0,6.0,10,-0.012059157677190145,0.7254468253423594
30,4,6.0,8.0,8,0.13519752015049408,0.7845206252057455
30,5,8.0,10.0,10,0.06594065157124099,0.7369025641986633
30,6,10.0,12.0,10,0.1542188933600667,0.7489366036837473
30,7,12.0,14.0,10,0.2850499255127298,0.7466682568799594
30,8,14.0,16.0,10,0.31563508923804895,0.7637747573083498
30,9,16.0,18.0,6,-0.10866551598141301,0.7616699098627772
30,10,18.0,20.0,12,0.2107784020723273,0.7484427100774272
30,11,20.0,22.0,10,0.026812434801612533,0.7191502216968721
30,12,22.0,24.0,10,-0.061753111869965537,0.7643326446225174
31,1,0.0,2.0,10,-0.11529775535772938,0.7079216207153357
31,2,2.0,4.0,12,0.29702006217932275,0.7486575987389743
31,3,4.0,6.0,10,0.17957216988282718,0.739884729493124
31,4,6.0,8.0,8,0.3374912509394858,0.7714799788949865
31,5,8.0,10.0,10,-0.07639082894000399,0.7539269517386846
31,6,10.0,12.0,10,0.154893271986307,0.7451045829736723
31,7,12.0,14.0,10,0.2102192975348933,0.7387984251506776
31,8,14.0,16.0,10,0.23233915525386398,0.7739275560158296
31,9,16.0,18.0,6,0.007726266678228719,0.7826750524370016
31,10,18.0,20.0,12,0.07905390230929539,0.725052276536197
31,11,20.0,22.0,10,0.20937618456946486,0.7579322864643931
31,12,22.0,24.0,10,0.12227156292099123,0.7539167638824711
32,1,0.0,2.0,10,-0.08242168510153045,0.7873197593920528
32,2,2.0,4.0,12,0.01747514429432819,0.7794642374513134
32,3,4.0,6.0,10,0.05100744281172436,0.772385920530467
32,4,6.0,8.0,8,0.05718453681417698,0.7633267369738379
32,5,8.0,10.0,10,-0.10615767063684037,0.6913901037584713
32,6,10.0,12.0,10,-0.11031260913783619,0.7657030362901203
32,7,12.0,14.0,10,0.15469302551869776,0.7406448407849004
32,8,14.0,16.0,10,-0.02101232419309683,0.759169601065478
32,9,16.0,18.0,6,-0.09364253404980533,0.7809337774695779
32,10,18.0,20.0,12,-0.07446447253272251,0.7193048733540898
32,11,20.0,22.0,10,0.17683521885175071,0.7245724491783871
32,12,22.0,24.0,10,-0.06999569551248792,0.7746074076859037
33,1,0.0,2.0,10,0.013107860342933774,0.7459880017485403
33,2,2.0,4.0,12,0.19132632248890882,0.7414542374526865
33,3,4.0,6.0,10,0.02529132524230809,0.7489768774972119
33,4,6.0,8.0,8,0.05543307375935781,0.782892410944437
33,5,8.0,10.0,10,0.2108187040760104,0.6995012204281469
33,6,10.0,12.0,10,0.22844531127693568,0.7424979093812005
33,7,12.0,14.0,10,0.3840476252844327,0.7712697033180878
33,8,14.0,16.0,10,0.41458273193740675,0.7866945319748753
33,9,16.0,18.0,6,0.20970377093567993,0.8039442731312522
33,10,18.0,20.0,12,0.12133227851324677,0.7666804275455608
33,11,20.0,22.0,10,0.29744738883172417,0.7179369844492111
33,12,22.0,24.0,10,0.18433987341254246,0.7714360299424708
34,1,0.0,2.0,10,-0.21876005164196732,0.7466565024967267
34,2,2.0,4.0,12,0.16810249613082048,0.74266206365072
34,3,4.0,6.0,10,0.09233203948667836,0.7436913364304328
34,4,6.0,8.0,8,0.000639870157689526,0.7383552878772731
34,5,8.0,10.0,10,0.23935538307711404,0.733740302660288
34,6,10.0,12.0,10,0.0791322297989818,0.7833562847682516
34,7,12.0,14.0,10,0.5055627293635048,0.760200887773207
34,8,14.0,16.0,10,0.3028516648551291,0.7462434175333047
34,9,16.0,18.0,6,-0.03219856034578789,0.7956759912301934
34,10,18.0,20.0,12,0.09383341534930494,0.7615100238624032
34,11,20.0,22.0,10,0.1503401099907158,0.7805932984708058
34,12,22.0,24.0,10,0.2283850920903324,0.7698890111998372
35,1,0.0,2.0,10,-0.20764129309808052,0.7656212270970366
35,2,2.0,4.0,12,0.12191250625129649,0.759708120973249
35,3,4.0,6.0,10,0.0641212582008015,0.7494711699409135
35,4,6.0,8.0,8,-0.067469241563962,0.8119869401893844
35,5,8.0,10.0,10,0.11208051203954789,0.7250294960860161
35,6,10.0,12.0,10,-0.04670319284173937,0.7112518921059755
35,7,12.0,14.0,10,0.26896580707375795,0.7753141713134242
35,8,14.0,16.0,10,0.24799956458351272,0.78822653336974
35,9,16.0,18.0,6,0.07869025489027544,0.79461050963396
35,10,18.0,20.0,12,0.2039951901905903,0.7637738834571892
35,11,20.0,22.0,10,0.2034452744176396,0.7420880198939802
35,12,22.0,24.0,10,0.07064957942768482,0.7718709987593342
36,1,0.0,2.0,10,0.08224395991985416,0.7602930016055381
36,2,2.0,4.0,12,0.05311632057781324,0.7521297112572694
36,3,4.0,6.0,10,0.16786243277820243,0.7773405694276674
36,4,6.0,8.0,8,-0.06823915387590478,0.797695857003648
36,5,8.0,10.0,10,0.0484398727029056,0.7088919477299588
36,6,10.0,12.0,10,0.10656998524699354,0.7425254174181362
36,7,12.0,14.0,10,0.21420426051900765,0.7300877269643767
