block,layer,z_minus_GDS_min_A,z_minus_GDS_max_A,waters,translation_20_300cm-1_cross_to_self,translation_20_300cm-1_self_weighted_participation
21,8,14.0,16.0,12,0.10543401137086114,0.7419480165958191
21,9,16.0,18.0,9,-0.08647026599833804,0.7531141704710751
21,10,18.0,20.0,13,-0.15830812087601961,0.7564154958385146
21,11,20.0,22.0,9,-0.16310877908956325,0.751414308776482
21,12,22.0,24.0,11,-0.06739503901690273,0.7007735374189279
22,1,0.0,2.0,15,-0.19826360055546585,0.7317882331615463
22,2,2.0,4.0,11,-0.1567653872808971,0.7391673329984284
22,3,4.0,6.0,8,-0.1578228307571039,0.8049092267397943
22,4,6.0,8.0,11,0.007132960782983756,0.764282627407103
22,5,8.0,10.0,9,-0.0989620308008518,0.7780193353472663
22,6,10.0,12.0,14,0.1467174477614692,0.7433614331024547
22,7,12.0,14.0,8,0.06918722844568818,0.7758847771964802
22,8,14.0,16.0,12,-0.012660532356970431,0.748033803819973
22,9,16.0,18.0,9,0.12494795474988388,0.7286328081554997
22,10,18.0,20.0,13,-0.09894826873627192,0.7253986349304377
22,11,20.0,22.0,9,-0.1344248002592911,0.7095482742263841
22,12,22.0,24.0,11,-0.12813664541695738,0.6625170102068398
23,1,0.0,2.0,15,-0.3128146710306308,0.7189431784342805
23,2,2.0,4.0,11,-0.1293244979813035,0.7474131496738436
23,3,4.0,6.0,8,-0.039467146154541055,0.7677039220634663
23,4,6.0,8.0,11,-0.09082473708156943,0.7557368217622289
23,5,8.0,10.0,9,-0.18400005753857274,0.7632478806565076
23,6,10.0,12.0,14,-0.27609374954187726,0.7363537444584082
23,7,12.0,14.0,8,-0.22861422240539636,0.730408888395404
23,8,14.0,16.0,12,-0.0905980055418698,0.7722242252320672
23,9,16.0,18.0,9,-0.15258954965478377,0.7496455954312894
23,10,18.0,20.0,13,-0.11920330505160313,0.7365931989522345
23,11,20.0,22.0,9,-0.056146467280112584,0.7585893393081634
23,12,22.0,24.0,11,-0.171421337202728,0.6982881308466239
24,1,0.0,2.0,15,-0.17208031867266085,0.694092509896231
24,2,2.0,4.0,11,-0.1438357309859791,0.7173962494760935
24,3,4.0,6.0,8,-0.07008419794393907,0.7592935628593928
24,4,6.0,8.0,11,-0.09560748571238376,0.7608991038181917
24,5,8.0,10.0,9,0.03539529445783616,0.7616716808101216
24,6,10.0,12.0,14,-0.15327590807929137,0.7504923150862114
24,7,12.0,14.0,8,-0.1601110670988555,0.7772199675591435
24,8,14.0,16.0,12,-0.03393818874249552,0.7737255813066272
24,9,16.0,18.0,9,0.01084105913868797,0.7453767154687907
24,10,18.0,20.0,13,-0.19959548672887198,0.7427513677022352
24,11,20.0,22.0,9,-0.05829842494196463,0.7139032640493203
24,12,22.0,24.0,11,-0.31344202051506564,0.6941106959462495
25,1,0.0,2.0,15,-0.3550887305313648,0.7097204275249582
25,2,2.0,4.0,11,-0.28655006069647976,0.7097631746149502
25,3,4.0,6.0,8,-0.15496427729172696,0.7809080534020807
25,4,6.0,8.0,11,-0.11320349940905056,0.753965470153658
25,5,8.0,10.0,9,-0.044278145417636,0.7879853634294007
25,6,10.0,12.0,14,-0.1564716150715547,0.7708142719530547
25,7,12.0,14.0,8,0.014472672768154895,0.7436421021460604
25,8,14.0,16.0,12,0.007210937969113713,0.7749095815395013
25,9,16.0,18.0,9,-0.19562037558601125,0.7633855153384017
25,10,18.0,20.0,13,-0.11606840488792697,0.7445902616601021
25,11,20.0,22.0,9,-0.29876886728351093,0.7172597201383685
25,12,22.0,24.0,11,-0.2642206352361425,0.7351905616332804
26,1,0.0,2.0,15,-0.22601617448365324,0.7314666204195552
26,2,2.0,4.0,11,-0.24940683491270635,0.7367909385352607
26,3,4.0,6.0,8,-0.27918227165574405,0.7808981791558942
26,4,6.0,8.0,11,0.07730212352141509,0.7317899522350205
26,5,8.0,10.0,9,-0.10170710464155146,0.7786019256962443
26,6,10.0,12.0,14,0.1073729204006398,0.7435718561325354
26,7,12.0,14.0,8,-0.10295752677618755,0.7533354840346751
26,8,14.0,16.0,12,-0.022080991165152875,0.7509646740382387
26,9,16.0,18.0,9,-0.1579563948250467,0.7513641334375855
26,10,18.0,20.0,13,-0.051629018353821,0.7445071575872891
26,11,20.0,22.0,9,-0.11221409500896501,0.7627110465243141
26,12,22.0,24.0,11,-0.22596987862570536,0.6600856313224835
27,1,0.0,2.0,15,-0.3459806874749973,0.7123286408373807
27,2,2.0,4.0,11,-0.26299710643281615,0.7728094634289314
27,3,4.0,6.0,8,-0.2425306660529841,0.7645717182978862
27,4,6.0,8.0,11,0.06598016455315252,0.7562964101573593
27,5,8.0,10.0,9,0.03819088921460358,0.7816970045805193
27,6,10.0,12.0,14,-0.22304281294239123,0.7211004775003038
27,7,12.0,14.0,8,-0.13291968609485846,0.7548363226545081
27,8,14.0,16.0,12,-0.2459739399412886,0.7633954378755878
27,9,16.0,18.0,9,0.015667206924610027,0.7620196420579636
27,10,18.0,20.0,13,-0.035602967955986116,0.7347865437103289
27,11,20.0,22.0,9,-0.043819519277338105,0.7505643822627697
27,12,22.0,24.0,11,-0.10377569488969042,0.6955182515445937
28,1,0.0,2.0,15,-0.18391364255604645,0.719083832536283
28,2,2.0,4.0,11,-0.06609652314182521,0.7351400285802987
28,3,4.0,6.0,8,0.07432206717372641,0.781654851143924
28,4,6.0,8.0,11,-0.14936358185592863,0.7551091403462243
28,5,8.0,10.0,9,-0.2322510447185931,0.7793390036702603
28,6,10.0,12.0,14,0.18272544411269181,0.7355971085200251
28,7,12.0,14.0,8,-0.12235139595263843,0.7796755500635955
28,8,14.0,16.0,12,-0.15110815886521806,0.7772133283973448
28,9,16.0,18.0,9,-0.032599986239910964,0.7711458915148736
28,10,18.0,20.0,13,-0.13042266946885064,0.7630491995166487
28,11,20.0,22.0,9,-0.19107183819133047,0.7535732219621898
