r_A,pair,ML_g,ML_sem,AIMD_g,AIMD_sem,difference_ML_minus_AIMD
1.48500,O-H,0.1475350063,0.01007260832,0.1971604175,0.01191286239,-0.04962541121
1.49500,Si-O,0,0,0,0,0
1.49500,O-O,0,0,0.002034529741,0.002033512221,-0.002034529741
1.49500,O-H,0.1746814827,0.01046831633,0.2739323251,0.01327645065,-0.09925084243
1.50500,Si-O,0,0,0,0,0
1.50500,O-O,0,0,0.002007582723,0.002006578681,-0.002007582723
1.50500,O-H,0.2291708977,0.0117123676,0.3258013617,0.01448219729,-0.096630464
1.51500,Si-O,0,0,0,0,0
1.51500,O-O,0,0,0.00396233509,0.002798990815,-0.00396233509
1.51500,O-H,0.29960776,0.01361897857,0.4155849574,0.01628703532,-0.1159771974
1.52500,Si-O,0,0,0.02395206119,0.01195205453,-0.02395206119
1.52500,O-O,0,0,0.01173162181,0.004775024686,-0.01173162181
1.52500,O-H,0.3541937544,0.01535066582,0.4877317946,0.01845971685,-0.1335380403
1.53500,Si-O,0,0,0.2718714984,0.03915245078,-0.2718714984
1.53500,O-O,0,0,0.007719510158,0.003852027834,-0.007719510158
1.53500,O-H,0.4205169001,0.01647592387,0.5290981296,0.01795471271,-0.1085812294
1.54500,Si-O,0,0,0.7292487175,0.06837849121,-0.7292487175
1.54500,O-O,0,0,0.03047961986,0.007558699919,-0.03047961986
1.54500,O-H,0.5278470009,0.01808475905,0.6375053567,0.02041809246,-0.1096583558
1.55500,Si-O,0,0,2.188494492,0.1119123084,-2.188494492
1.55500,O-O,0,0,0.05453606037,0.009979169004,-0.05453606037
1.55500,O-H,0.6440106287,0.01976308036,0.775503777,0.02235612335,-0.1314931483
1.56500,Si-O,5.685831475,0,4.685125135,0.166646667,1.00070634
1.56500,O-O,0,0,0.09097330359,0.01294289871,-0.09097330359
1.56500,O-H,0.75234117,0.02092935197,0.8900087356,0.02379730693,-0.1376675656
1.57500,Si-O,0,0,9.498650936,0.2257536819,-9.498650936
1.57500,O-O,0,0,0.1356491859,0.01561084267,-0.1356491859
1.57500,O-H,0.8537041449,0.02188309651,1.063553208,0.02501995154,-0.2098490635
1.58500,Si-O,22.17298495,1.243439179e-07,16.96233349,0.2848387249,5.210651464
1.58500,O-O,0,0,0.2208248297,0.0194202993,-0.2208248297
1.58500,O-H,0.958932544,0.02455057046,1.134354213,0.02548083414,-0.1754216686
