layer_index,z_min_A,z_max_A,wavenumber_cm-1_shifted_plus80,VDOS_area_normalized_mean_unsmoothed,VDOS_SEM_50_blocks
4,16,20,1891.963164,6.648347251e-05,7.04302616e-06
4,16,20,1893.999077,6.911077965e-05,6.83214788e-06
4,16,20,1896.034991,6.61812314e-05,5.984724862e-06
4,16,20,1898.070905,6.066601652e-05,5.804058114e-06
4,16,20,1900.106818,5.98615263e-05,6.049120631e-06
4,16,20,1902.142732,6.202141875e-05,6.712750288e-06
4,16,20,1904.178646,6.102925468e-05,6.686741447e-06
4,16,20,1906.214559,5.83930368e-05,6.246515985e-06
4,16,20,1908.250473,5.698739878e-05,6.184218666e-06
4,16,20,1910.286387,5.526150599e-05,6.327977645e-06
4,16,20,1912.322300,5.328520195e-05,5.836571538e-06
4,16,20,1914.358214,5.101544609e-05,5.443801111e-06
4,16,20,1916.394128,4.668567834e-05,5.070470495e-06
4,16,20,1918.430041,4.285685075e-05,4.191898812e-06
4,16,20,1920.465955,4.171175435e-05,3.756515187e-06
4,16,20,1922.501869,4.173216688e-05,3.991564211e-06
4,16,20,1924.537782,4.076784645e-05,4.198349825e-06
4,16,20,1926.573696,3.874810164e-05,3.560517265e-06
4,16,20,1928.609610,3.823676874e-05,2.852869911e-06
4,16,20,1930.645523,4.1026547e-05,3.002764678e-06
4,16,20,1932.681437,4.523263513e-05,3.921434065e-06
4,16,20,1934.717351,4.659875953e-05,4.307056336e-06
4,16,20,1936.753264,4.413069651e-05,3.83780221e-06
4,16,20,1938.789178,4.002963688e-05,3.456183089e-06
4,16,20,1940.825092,3.647417317e-05,3.302043695e-06
4,16,20,1942.861005,3.564470218e-05,2.99390832e-06
4,16,20,1944.896919,3.74558312e-05,2.874023566e-06
4,16,20,1946.932833,3.829570551e-05,2.911802695e-06
4,16,20,1948.968746,3.614753202e-05,2.580968644e-06
4,16,20,1951.004660,3.404886463e-05,2.333263072e-06
4,16,20,1953.040574,3.415557301e-05,2.619179762e-06
4,16,20,1955.076487,3.52026459e-05,3.617980996e-06
4,16,20,1957.112401,3.568831135e-05,3.624282663e-06
4,16,20,1959.148315,3.543068446e-05,2.910794812e-06
4,16,20,1961.184228,3.504896978e-05,2.808582828e-06
4,16,20,1963.220142,3.43381665e-05,2.773557591e-06
4,16,20,1965.256056,3.333764228e-05,2.661641632e-06
4,16,20,1967.291969,3.296884808e-05,2.651274852e-06
4,16,20,1969.327883,3.279374424e-05,2.766573924e-06
4,16,20,1971.363797,3.23529341e-05,2.578414037e-06
4,16,20,1973.399710,3.224025996e-05,2.347646668e-06
4,16,20,1975.435624,3.244173867e-05,2.398773207e-06
4,16,20,1977.471538,3.302126706e-05,2.561533042e-06
4,16,20,1979.507451,3.309365275e-05,2.619943523e-06
